epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,5379.11,0.69237,0.54377,0.95711,0.9532,0.92999,0.96814,0.83275,0.62423,0.40962,0.89792,0.003961,0.003961,0.003961
63,5462.75,0.69673,0.5448,0.9591,0.95583,0.92774,0.96882,0.83281,0.62328,0.40624,0.89605,0.003862,0.003862,0.003862
64,5546.53,0.6911,0.53564,0.95595,0.9541,0.92927,0.96892,0.83621,0.61995,0.40486,0.89382,0.003763,0.003763,0.003763
65,5630.15,0.68927,0.53189,0.95471,0.95589,0.93037,0.96924,0.83688,0.61834,0.40206,0.8931,0.003664,0.003664,0.003664
66,5714.03,0.68506,0.52969,0.95304,0.95975,0.92916,0.96976,0.83796,0.61668,0.40025,0.89287,0.003565,0.003565,0.003565
67,5797.63,0.67883,0.52316,0.95049,0.95839,0.92599,0.9692,0.83986,0.61444,0.40019,0.89189,0.003466,0.003466,0.003466
68,5881.16,0.67729,0.52127,0.95035,0.95716,0.93216,0.96955,0.83949,0.61579,0.39849,0.89267,0.003367,0.003367,0.003367
69,5964.98,0.67465,0.51449,0.94926,0.96,0.93225,0.97036,0.83841,0.61386,0.39724,0.89138,0.003268,0.003268,0.003268
70,6049.11,0.67546,0.51369,0.94752,0.96601,0.92754,0.97038,0.84045,0.61062,0.39743,0.89009,0.003169,0.003169,0.003169
71,6132.82,0.67223,0.51273,0.94674,0.95966,0.92901,0.97111,0.8403,0.61026,0.39696,0.89026,0.00307,0.00307,0.00307
72,6216.48,0.66801,0.50605,0.94525,0.95627,0.92905,0.97171,0.8414,0.60695,0.39437,0.88789,0.002971,0.002971,0.002971
73,6299.75,0.66711,0.50636,0.94656,0.95715,0.93163,0.97168,0.84254,0.60648,0.39361,0.88797,0.002872,0.002872,0.002872
74,6383.44,0.66263,0.49872,0.94163,0.95385,0.93514,0.97203,0.84348,0.60645,0.39299,0.88832,0.002773,0.002773,0.002773
75,6467.04,0.65501,0.49241,0.93873,0.95841,0.93234,0.97183,0.84376,0.60544,0.39209,0.88718,0.002674,0.002674,0.002674
76,6550.58,0.6591,0.49509,0.94121,0.95649,0.93651,0.97196,0.84242,0.60595,0.3904,0.88725,0.002575,0.002575,0.002575
77,6634.09,0.65506,0.49169,0.93964,0.95942,0.93387,0.97213,0.84339,0.60493,0.38915,0.88662,0.002476,0.002476,0.002476
78,6717.69,0.65328,0.4847,0.93805,0.95848,0.936,0.97252,0.84431,0.6029,0.38651,0.88511,0.002377,0.002377,0.002377
79,6801.54,0.6474,0.4827,0.936,0.95804,0.9357,0.97285,0.84392,0.60173,0.38494,0.88439,0.002278,0.002278,0.002278
80,6884.99,0.64739,0.47941,0.93676,0.95584,0.93742,0.97342,0.84458,0.60111,0.38298,0.88403,0.002179,0.002179,0.002179
81,6968.83,0.64781,0.47867,0.93545,0.95804,0.93789,0.97378,0.84585,0.60033,0.38274,0.88406,0.00208,0.00208,0.00208
82,7052.56,0.64493,0.47748,0.93403,0.9547,0.94005,0.97394,0.84641,0.59852,0.38067,0.88336,0.001981,0.001981,0.001981
83,7136.06,0.63946,0.46931,0.93267,0.95812,0.93764,0.97425,0.8479,0.59798,0.37875,0.88382,0.001882,0.001882,0.001882
84,7219.51,0.63694,0.46778,0.93152,0.95432,0.94089,0.97402,0.84739,0.59633,0.37746,0.88318,0.001783,0.001783,0.001783
85,7303.23,0.6334,0.46484,0.92985,0.95741,0.93868,0.97401,0.84847,0.59561,0.37723,0.88293,0.001684,0.001684,0.001684
86,7386.64,0.62883,0.45882,0.92822,0.95685,0.93811,0.97387,0.84953,0.5946,0.37626,0.88217,0.001585,0.001585,0.001585
